"keyword","ngram","freq"
"extreme value theory",3,87
"total factor productivity",3,87
"stock price performance",3,86
"effect of market",3,86
"evidence in support",3,85
"dynamic conditional correlation",3,85
"commonality in liquidity",3,84
"volatility of stock",3,84
"stock market performance",3,84
"source of risk",3,84
"relationship between bank",3,84
"exchange rate dynamics",3,84
"determinant of bank",3,84
"investment opportunity set",3,83
"measure of market",3,83
"model with time",3,83
"return on equity",3,83
"partial differential equation",3,83
"method of payment",3,83
"interest rate model",3,82
"earning per share",3,81
"data envelopment analysis",3,81
"stock price movement",3,81
"real estate return",3,81
"number of asset",3,80
"important policy implication",3,80
"level of information",3,79
"real estate price",3,79
"higher interest rate",3,79
"interest rate parity",3,79
"financial crisis period",3,79
"equity risk premium",3,78
"short sale constraint",3,78
"asset allocation decision",3,77
"number of firm",3,77
"net present value",3,77
"benefit of control",3,76
"index option market",3,76
"time to maturity",3,76
"use of derivative",3,75
"optimal hedge ratio",3,75
"effect of change",3,74
"line of credit",3,74
"optimal monetary policy",3,74
"section of stock",3,73
"firm from to",3,73
"variance risk premium",3,73
"cost of bank",3,73
"limit order market",3,73
"performance of firm",3,72
"capital gain tax",3,72
"mutual fund investor",3,72
"exchange rate return",3,72
"stochastic general equilibrium",3,72
"change over time",3,72
"credit rating agency",3,72
"stock market development",3,72
"vector autoregressive model",3,71
"panel data set",3,71
"interest rate change",3,70
"limit to arbitrage",3,69
"default swap spread",3,69
"spot exchange rate",3,69
"low interest rate",3,69
"high frequency data",3,69
"access to finance",3,68
"stock index return",3,68
"relation between stock",3,68
"european sovereign debt",3,68
"market interest rate",3,67
"evidence in favor",3,67
"predictability of stock",3,67
"autoregressive conditional heteroskedasticity",3,67
"change in bank",3,67
"hedge fund performance",3,67
"exchange rate fluctuation",3,66
"role of bank",3,66
"aggregate stock market",3,66
"season equity offering",3,66
"firm in country",3,66
"institutional investor LLC",3,66
"asset pricing theory",3,65
"impact on stock",3,65
"number of stock",3,65
"stock market data",3,65
"variance ratio test",3,65
"difference of opinion",3,65
"stock price synchronicity",3,65
"asian stock market",3,65
"degree of market",3,64
"macroeconomic news announcement",3,64
"stock price informativeness",3,64
"interest rate spread",3,64
"number of share",3,63
"effect of board",3,63
"cash flow volatility",3,63
"volatility risk premium",3,63
"effect of government",3,62
"impact on bank",3,62
"international financial market",3,62
"increase in risk",3,62
"maximum likelihood estimation",3,62
"exchange rate pass",3,62
"data from to",3,62
"private equity fund",3,62
"residential real estate",3,62
"sovereign credit rating",3,62
"bank holding company",3,62
"strategic asset allocation",3,61
"effect on firm",3,61
"adverse selection cost",3,61
"government bond yield",3,61
"effect of ceo",3,61
"effect of credit",3,61
"impact of market",3,61
"impulse response function",3,61
"cash flow rights",3,61
"probability density function",3,60
"international capital market",3,60
"measure of liquidity",3,60
"monetary policy announcement",3,60
"impact of trade",3,60
"elasticity of variance",3,60
"lower interest rate",3,60
"excess stock return",3,60
"instrumental variable approach",3,60
"stock price volatility",3,59
"index future contract",3,59
"monetary policy rule",3,59
"relationship between market",3,59
"number of trade",3,59
"marginal tax rate",3,58
"level of debt",3,58
"underlying asset price",3,58
"interest rate differentials",3,58
"vector error correction",3,58
"standard deviation increase",3,58
"monetary policy transmission",3,58
"type of risk",3,57
"equity premium puzzle",3,57
"international stock return",3,57
"effect of investor",3,57
"corporate tax avoidance",3,57
"capital structure choice",3,56
"return on stock",3,56
"flexible exchange rate",3,56
"bond mutual fund",3,56
"global equity market",3,56
"gross domestic product",3,56
"corporate capital structure",3,55
"point in time",3,55
"panel data analysis",3,55
"effect on bank",3,55
"rate of interest",3,55
"asset allocation strategy",3,55
"asset under management",3,55
"level of market",3,55
"central bank intervention",3,55
"risk management practice",3,54
"common risk factor",3,54
"average stock return",3,54
"adverse selection problem",3,54
"stock price response",3,54
"optimal asset allocation",3,54
"response to change",3,54
"change in risk",3,54
"stock price behavior",3,53
"type of firm",3,53
"distribution of return",3,53
"impact of change",3,53
"increase in volatility",3,53
"variation in stock",3,53
"type of investor",3,53
"government bond market",3,53
"random walk model",3,53
"sovereign bond market",3,53
"source of information",3,53
"change in volatility",3,53
"class of model",3,53
"impact of investor",3,53
"real economic activity",3,52
"sample of country",3,52
"future stock price",3,52
"supply of credit",3,52
"order of magnitude",3,52
"relationship between risk",3,52
"crude oil market",3,52
"change in stock",3,52
"varies over time",3,51
"hedge fund strategy",3,51
"bank stock return",3,51
"sample of stock",3,51
"net interest margin",3,51
"time series data",3,51
